Title,Rating,Votes,Duration,Storyline,content
Fotbollsåret 2024,7.0, (5),1h 3m,"In Football Year 2024, we get access to the Swedish national teams like never before. With an emotionally charged insider perspective, we get all the way into the locker room, at the player hotel and during match briefings. We also offer personal meetings with some of Sweden's greatest and most sought-after athletes.",fotbollsret football year get access swedish national team like never emotionally charged insider perspective get way locker room player hotel match briefing also offer personal meeting sweden greatest soughtafter athlete
Sun,8.3, (42),1h 15m,"After his wife goes missing, a haunted dancer helplessly experiences a night of celebration descending into a dark and chaotic hell.",sun wife go missing haunted dancer helplessly experience night celebration descending dark chaotic hell
Suffocating Love,6.1, (353),1h 42m,"A man believes he has found the love of his life when he meets a girl who seems to be the right kind of quirky. However, when her terrifyingly controlling personality eventually surfaces, he makes a desperate choice.",suffocating love man belief found love life meet girl seems right kind quirky however terrifyingly controlling personality eventually surface make desperate choice
Champions of the Golden Valley,7.7, (139),1h 21m,"Afghan youth craft wooden skis to compete in a mountain race uniting rival villages before their country's collapse, showing resilience and community spirit in an unexpected story of hope and triumph.",champion golden valley afghan youth craft wooden ski compete mountain race uniting rival village country collapse showing resilience community spirit unexpected story hope triumph
The Hole Story,7.3, (14),1h 27m,The discovery of a 60ft man-made hole on a California mountain leads to a decade of wild speculation.,hole story discovery manmade hole california mountain lead decade wild speculation
ChiefsAholic: A Wolf in Chiefs Clothing,6.3, (453),2h 1m,Follows Kansas City Chiefs superfan Xaviar Babudar's secret life as a serial bank robber. It explores his arrest through his own interviews and subsequent legal journey.,chiefsaholic wolf chief clothing follows kansa city chief superfan xaviar babudars secret life serial bank robber explores arrest interview subsequent legal journey
ZombieCON Vol. 1,4.2, (142),1h 50m,A group of cosplaying friends trigger a zombie apocalypse and are forced to traverse a zombie-infested Los Angeles to save their loved one.,zombiecon vol group cosplaying friend trigger zombie apocalypse forced traverse zombieinfested los angeles save loved one
When Her Walls Talk,3.9, (27),1h 40m,A nationally renowned therapist explores the passions and erotic boundaries of her clients while coping with personal demons of her own.,wall talk nationally renowned therapist explores passion erotic boundary client coping personal demon
Effigy,2.8, (281),1h 18m,"Isolated on the fringes of a soulless metropolis, Catherine survives on scraps of translation work. But a mysterious client offers a lucrative job, and an opportunity for Catherine to indulge in her malformed and incompatible desires.",effigy isolated fringe soulless metropolis catherine survives scrap translation work mysterious client offer lucrative job opportunity catherine indulge malformed incompatible desire
For Prophet,5.3, (123),1h 45m,"A struggling entrepreneur encounters the Archangel Raphael, who reveals that he is chosen by 'The Most High God' to be a part-time prophet, tasking him to save his crumbling and corrupt hometown.",prophet struggling entrepreneur encounter archangel raphael reveals chosen high god parttime prophet tasking save crumbling corrupt hometown
It's All Over: The Kiss That Changed Spanish Football,7.0, (731),1h 35m,Spanish footballers come together for the first time to relive the turbulent 2023 Women's World Cup and the kiss that overshadowed their victory.,kiss changed spanish football spanish footballer come together first time relive turbulent womens world cup kiss overshadowed victory
The Girl Who Cried Her Eyes Out,3.5, (791),1h 34m,"A group of friends trespass into a state park for a party. Through a dare, one encounters Caroline Woodman's vengeful spirit. As they die one by one, they race against time to stop the 300-year-old ghost's rampage before it's too late.",girl cried eye group friend trespass state park party dare one encounter caroline woodman vengeful spirit die one one race time stop ghost rampage late
Pigman,3.3, (144),1h 38m,A group of ambitious YouTubers arrive at an isolated English farm to uncover the story of the infamous Legend of the Pigman. Can they debunk the myth - or will they unleash the beast once more?,pigman group ambitious youtubers arrive isolated english farm uncover story infamous legend pigman debunk myth unleash beast
Samadhana Pusthakam,4.9, (83),2h 3m,"Set against the backdrop of a school and the story is set in two different periods - 2000 and 2023. Alex, a business magnate, is invited by his school as chief guest for its 75th anniversary. Upon his visit to the school, he realises that students aren't given freedom even in modern times.",samadhana pusthakam set backdrop school story set two different period alex business magnate invited school chief guest anniversary upon visit school realises student given freedom even modern time
Vindicating Trump,4.1, (1.8K),1h 36m,"Dinesh D'Souza examines the challenges faced by Donald Trump, including political opposition, legal battles, and assassination attempts, during his bid to return to the presidency.",vindicating trump dinesh dsouza examines challenge faced donald trump including political opposition legal battle assassination attempt bid return presidency
Love You to Debt,6.2, (833),2h 15m,"Follows Bo, a debt collector who starts to rethink everything after collecting a debt from a beautiful girl.",love debt follows bo debt collector start rethink everything collecting debt beautiful girl
Empire of the Rabbits,6.1, (202),1h 34m,A daring boy's journey against the cruel entanglements of deception and disabilities of the adult world.,empire rabbit daring boy journey cruel entanglement deception disability adult world
As We Speak,6.0, (144),1h 36m,Bronx rap artist Kemba explores the growing weaponization of rap lyrics in the United States criminal justice system and abroad - revealing how law enforcement has quietly used artistic creation as evidence in criminal cases for decades.,speak bronx rap artist kemba explores growing weaponization rap lyric united state criminal justice system abroad revealing law enforcement quietly used artistic creation evidence criminal case decade
Desire Lines,6.2, (132),1h 21m,An Iranian American trans man travels back in time to an LGBTQ+ archive to understand his sexuality. He encounters his past and present selves during an erotic journey of self-discovery.,desire line iranian american trans man travel back time lgbtq archive understand sexuality encounter past present self erotic journey selfdiscovery
Vojna policajtov,6.5, (390),2h 30m,A solitary police operative skilfully moves on the edge of the law in the wild atmosphere of the East Slovak underworld in the early 90s.,vojna policajtov solitary police operative skilfully move edge law wild atmosphere east slovak underworld early
Forget Me Not,6.4, (183),1h 29m,An attempt to suicide by the loved one entails two women embarking on a journey of introspection and reminiscence to discover the distinct meanings of love and loss.,forget attempt suicide loved one entail two woman embarking journey introspection reminiscence discover distinct meaning love loss
