Title,Rating,Votes,Duration,Storyline
153. Kneecap,7.6, (25K),1h 45m,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
154. Afternoons of Solitude,7.1, (1.9K),2h 5m,"Explores the spiritual pain of bullfighting, the tormented torero in a ring, one of the most excessive and graphic examples of the origin of Southern European civilization"
155. Memoir of a Snail,7.8, (26K),1h 35m,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
156. September 5,7.1, (37K),1h 35m,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
157. Young Hearts,7.9, (9K),1h 39m,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
158. Never Let Go,5.4, (20K),1h 41m,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.
159. Ricky Stanicky,6.2, (62K),1h 53m,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
160. The Wailing,6.0, (3.2K),1h 47m,A group of young people inadvertently resurrect a seemingly invisible evil.
161. Beverly Hills Cop: Axel F,6.4, (87K),1h 58m,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
162. Stream,5.7, (11K),2h 3m,"The Keenan family's simple weekend getaway truly turns into a vacation to die for, as four deranged killers playing a sadistic game lock down their hotel and compete for the most creative murders of all the guests."
163. Heresy,6.3, (1.3K),1h 1m,"In a medieval Dutch village, a young woman is caught between her faith, fanatic townsfolk and the dark forces lurking in the woods."
164. Canary Black,5.4, (14K),1h 41m,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.
165. Homestead,5.2, (5.4K),1h 52m,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
166. Succubus,4.7, (2.2K),1h 43m,"A new father struggling with fatigue, emotional insecurities, and a failing marriage joins a dating app, only to swipe right on what may be an inhuman presence."
